鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
桃園區,房地(土地+建物),桃園市桃園區三民路一段６６之２號六樓之二,8.17,都市：其他:河川區,,,1100910,土地2建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840511,71.61,2,2,1,有,有,5500000,76805,,0.0,0,,RPTQMLRKRHGGFAH09DA,52.47,6.48,0.0,有,2.0
桃園區,房地(土地+建物)+車位,桃園市桃園區泰山街１１號十三樓,12.15,都市：其他:住宅區,,,1100824,土地1建物1車位1,十三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851113,157.78,3,2,2,有,有,8680000,55013,坡道平面,0.0,0,,RPXNMLNLRHGGFAH88DA,126.37,11.46,0.0,有,
桃園區,房地(土地+建物),桃園市桃園區明德街１７號四樓　　,11.7,都市：其他:住宅區,,,1100801,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831005,101.58,3,2,2,有,有,6600000,64973,,0.0,0,,RPOOMLSLRHGGFAH58DA,71.27,13.79,0.0,有,4.0
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６５２號八樓,24.94,都市：其他:住宅區,,,1091120,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,166.45999999999998,3,2,2,有,有,12680000,86032,坡道平面,42.32,2000000,,RPPNMLNJIIGGFAH07DA,76.8,6.36,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６５２號十二樓,24.42,都市：其他:住宅區,,,1100530,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,162.93,3,2,2,有,有,13350000,91436,坡道平面,38.8,2000000,,RPQNMLNJIIGGFAH17DA,76.8,6.36,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６５２號十五樓,24.42,都市：其他:住宅區,,,1100112,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,162.93,3,2,2,有,有,12880000,87650,坡道平面,38.8,2000000,,RPRNMLNJIIGGFAH27DA,76.8,6.36,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６５０號八樓,18.42,都市：其他:住宅區,,,1100430,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,123.15,2,1,1,有,有,9470000,87697,坡道平面,35.69,1800000,,RPSNMLNJIIGGFAH37DA,53.87,4.76,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６５０號十一樓,18.91,都市：其他:住宅區,,,1100515,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,126.27000000000001,2,1,1,有,有,9600000,88030,坡道平面,38.8,1900000,,RPTNMLNJIIGGFAH47DA,53.87,4.76,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６３８號四樓,24.33,都市：其他:住宅區,,,1091224,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,162.37,3,2,2,有,有,12150000,82544,坡道平面,38.8,1950000,,RPUNMLNJIIGGFAH57DA,76.44,6.36,0.0,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路６３８號六樓,24.33,都市：其他:住宅區,,,1100424,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100729,162.37,3,2,2,有,有,12720000,87157,坡道平面,38.8,1950000,,RPVNMLNJIIGGFAH67DA,76.44,6.36,0.0,有,
